概念A,概念B,投票结果支持率
几分之一,分数的简单应用, 2/3
几分之几,分数的简单计算, 2/3
几分之几,分数的简单应用, 2/3
分数的简单计算,分数的简单应用,1
数学广角——集合,统计, 2/3
口算乘法（多位数乘一位数）,口算乘法（两位数乘两位数）,1
笔算乘法（多位数乘一位数）,笔算乘法（两位数乘两位数）,1
口算乘法（多位数乘一位数）,口算除法（除数是一位数的除法）, 2/3
笔算乘法（多位数乘一位数）,笔算除法（除数是一位数的除法）, 2/3
四边形,长方形、正方形面积的机算,1
周长（长方形和正方形）,长方形、正方形面积的机算, 2/3
几分之一,认识小数, 2/3
几分之几,认识小数, 2/3
时、分、秒,时计时法,1
倍的认识,口算除法（除数是一位数的除法）,1
倍的认识,笔算除法（除数是一位数的除法）,1
倍的认识,口算乘法（两位数乘两位数）,1
倍的认识,笔算乘法（两位数乘两位数）,1
面积和面积单位,长方形、正方形面积的计算,1
面积和面积单位,面积单位间的进率,1
认识小数,简单的小数加、减法,1
口算除法（除数是一位数的除法）,口算除法(除数是两位数的除法),1
口算除法（除数是一位数的除法）,笔算除法(除数是两位数的除法),1
笔算除法（除数是一位数的除法）,笔算除法(除数是两位数的除法),1
统计,条形统计图, 2/3
口算乘法（两位数乘两位数）,口算除法(除数是两位数的除法), 2/3
口算乘法（两位数乘两位数）,笔算除法(除数是两位数的除法), 2/3
口算乘法（两位数乘两位数）,三位数乘两位数,1
笔算乘法（两位数乘两位数）,口算除法(除数是两位数的除法), 2/3
笔算乘法（两位数乘两位数）,笔算除法(除数是两位数的除法), 2/3
笔算乘法（两位数乘两位数）,三位数乘两位数,1
面积和面积单位,公顷和平方千米,1
亿以内数的认识,亿以上数的认识,1
亿以内数的认识,三位数乘两位数, 2/3
亿以内数的认识,口算除法(除数是两位数的除法), 2/3
亿以内数的认识,笔算除法(除数是两位数的除法), 2/3
数的产生,亿以内数的认识,1
数的产生,十进制计数法,1
数的产生,亿以上数的认识,1
数的产生,计算工具的认识, 2/3
十进制计数法,计算工具的认识, 2/3
十进制计数法,算盘, 2/3
十进制计数法,计算器, 2/3
十进制计数法,口算除法(除数是两位数的除法), 2/3
十进制计数法,笔算除法(除数是两位数的除法), 2/3
计算工具的认识,算盘,1
计算工具的认识,计算器,1
线段、直线、射线,角,1
线段、直线、射线,角的度量, 2/3
线段、直线、射线,角的分类, 2/3
线段、直线、射线,画角,1
角,角的度量,1
角,角的分类,1
角,画角,1
角的度量,角的分类,1
角的度量,画角, 2/3
三位数乘两位数,口算除法(除数是两位数的除法), 2/3
三位数乘两位数,笔算除法(除数是两位数的除法), 2/3
平行与垂直,平行四边形和梯形,1
口算除法(除数是两位数的除法),笔算除法(除数是两位数的除法), 2/3
数的产生,小数的意义,1
数的产生,小数的读法和写法,1
数的产生,小数的性质,1
数的产生,平均数, 2/3
角,三角形的内角和,1
角的度量,三角形的内角和,1
平行与垂直,轴对称,1
平行与垂直,平移,1
条形统计图,复式条形统计图,1
加、减法的意义和各部分间的关系,乘、除法的意义和各部分间的关系, 2/3
加、减法的意义和各部分间的关系,加法运算定律, 2/3
加、减法的意义和各部分间的关系,小数加减法,1
加、减法的意义和各部分间的关系,小数加减混合运算,1
加、减法的意义和各部分间的关系,整数加法运算定律推广到小数,1
乘、除法的意义和各部分间的关系,乘法运算定律,1
括号,加法运算定律, 2/3
括号,乘法运算定律, 2/3
加法运算定律,乘法运算定律,1
加法运算定律,小数加减法,1
加法运算定律,小数加减混合运算,1
加法运算定律,整数加法运算定律推广到小数,1
小数的意义,小数的读法和写法,1
小数的意义,小数的性质, 2/3
小数的意义,小数的大小比较, 2/3
小数的意义,小数点移动引起小数大小的变化, 2/3
小数的意义,小数与单位换算, 2/3
小数的意义,小数的近似数,1
小数的意义,小数加减法, 2/3
小数的意义,小数加减混合运算, 2/3
小数的意义,整数加法运算定律推广到小数, 2/3
小数的性质,小数的大小比较,1
小数的大小比较,小数点移动引起小数大小的变化, 2/3
小数的大小比较,小数与单位换算, 2/3
小数的大小比较,小数的近似数, 2/3
小数的大小比较,小数加减法, 2/3
小数的大小比较,小数加减混合运算, 2/3
小数的大小比较,整数加法运算定律推广到小数,1
小数点移动引起小数大小的变化,小数与单位换算,1
小数点移动引起小数大小的变化,小数的近似数,1
小数点移动引起小数大小的变化,小数加减法, 2/3
小数点移动引起小数大小的变化,小数加减混合运算, 2/3
小数点移动引起小数大小的变化,整数加法运算定律推广到小数,1
小数与单位换算,小数的近似数, 2/3
小数与单位换算,小数加减法,1
小数与单位换算,小数加减混合运算, 2/3
